date,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1-Oct,0,0,0,0,0.142857143,0.057142857,0,0,0,0,0,0.025,0,0,0,0.122222222,0,0,0,0,0,0,0.027272727,0.045454546,0,0,0.181818182,0,0,0,0,0,0
2-Oct,0,0,0,0,0.1,0.014285714,0,0.242857143,0,0,0,0.075,0,0,0,0.122222222,0,0,0,0,0,0,0,0.072727273,0,0,0.227272727,0,0,0,0,0.054545455,0
3-Oct,0,0,0,0,0.085714286,0,0,0.185714286,0,0,0,0.075,0,0,0,0.111111111,0,0,0,0,0,0,0,0.054545455,0,0,0.318181818,0,0,0,0,0.072727273,0.027272727
4-Oct,0,0,0,0,0.071428571,0.014285714,0,0.342857143,0,0,0,0.0625,0,0.066666667,0,0.111111111,0,0,0.009090909,0,0.009090909,0,0,0.045454546,0,0,0.245454546,0,0,0,0,0.072727273,0.027272727
5-Oct,0,0,0,0,0.271428571,0,0,0.442857143,0,0.0375,0,0.075,0,0.055555556,0,0.111111111,0,0.018181818,0.027272727,0,0.036363636,0,0.036363636,0.027272727,0,0,0.2,0,0,0,0,0.036363636,0.018181818
6-Oct,0,0,0,0.216666667,0.285714286,0,0,0.457142857,0.028571429,0.025,0,0.075,0,0.122222222,0,0.111111111,0,0.018181818,0.1,0,0.027272727,0.009090909,0.036363636,0.027272727,0,0,0.2,0,0,0,0,0.036363636,0.018181818
7-Oct,0,0,0.016666667,0.25,0.3,0,0.028571429,0.485714286,0.085714286,0.025,0,0.075,0,0.122222222,0,0.066666667,0,0.018181818,0.1,0.018181818,0.3,0,0.045454546,0.018181818,0,0.063636364,0.190909091,0,0,0,0,0.009090909,0
8-Oct,0,0,0.083333333,0.383333333,0.242857143,0,0.114285714,0.485714286,0.2,0.0125,0,0.0375,0,0.088888889,0,0.044444444,0,0.018181818,0.118181818,0.036363636,0.472727273,0,0.054545455,0.009090909,0,0.036363636,0.181818182,0.127272727,0,0,0.045454546,0.009090909,0
9-Oct,0,0,0.083333333,0.433333333,0.2,0,0.1,0.442857143,0.085714286,0.0125,0.0125,0,0,0.088888889,0,0.322222222,0,0.009090909,0.218181818,0.009090909,0.790909091,0,0.054545455,0,0,0.036363636,0.181818182,0.172727273,0,0,0.063636364,0,0
10-Oct,0,0,0.3,0.416666667,0.214285714,0,0.085714286,0.371428571,0.085714286,0.0125,0.1375,0,0,0.088888889,0.711111111,0.644444444,0,0.009090909,0.181818182,0.009090909,0.790909091,0,0.054545455,0.254545455,0,0.036363636,0.563636364,0.318181818,0,0,0.072727273,0,0
11-Oct,0,0.066666667,0.366666667,0.35,0.2,0,0.028571429,0.314285714,0.085714286,0.0125,0.1375,0,0,0.088888889,0.944444444,0.866666667,0,0.009090909,0.163636364,0.018181818,0.709090909,0,0.281818182,0.245454546,0,0.027272727,0.445454546,0.5,0.063636364,0,0.063636364,0,0
12-Oct,0,0.033333333,0.316666667,0.333333333,0.2,0,0.1,0.257142857,0.085714286,0.0125,0.1625,0,0,0.088888889,0.933333333,0.788888889,0,0.072727273,0.145454546,0,0.681818182,0,0.254545455,0.190909091,0,0.054545455,0.4,0.8,0.036363636,0.018181818,0.072727273,0,0.081818182
13-Oct,0,0,0.316666667,0.333333333,0.257142857,0,0.414285714,0.228571429,0.071428571,0,0.325,0,0,0.1,0.911111111,0.677777778,0,0.018181818,0.190909091,0.054545455,0.581818182,0.1,0.254545455,0.509090909,0,0.054545455,0.290909091,0.709090909,0.036363636,0.009090909,0.263636364,0,0.209090909
14-Oct,0,0,0.3,0.35,0.257142857,0,0.357142857,0.257142857,0.071428571,0,0.3375,0,0,0.477777778,0.877777778,0.644444444,0.018181818,0.018181818,0.318181818,0.054545455,0.536363636,0.145454546,0.3,0.4,0,0.054545455,0.263636364,0.654545455,0.036363636,0,0.236363636,0,0.181818182
15-Oct,0,0,0.333333333,0.516666667,0.257142857,0,0.257142857,0.214285714,0.057142857,0,0.275,0,0,0.444444444,0.855555556,0.677777778,0.190909091,0.109090909,0.345454546,0.036363636,0.481818182,0.109090909,0.363636364,0.318181818,0,0.045454546,0.227272727,0.736363636,0.036363636,0,0.309090909,0,0.154545455
16-Oct,0,0.016666667,0.433333333,0.8,0.257142857,0,0.228571429,0.185714286,0.071428571,0,0.2375,0.025,0,0.355555556,0.777777778,0.633333333,0.172727273,0.081818182,0.3,0.027272727,0.409090909,0.054545455,0.527272727,0.263636364,0,0.027272727,0.227272727,0.772727273,0.036363636,0,0.3,0.009090909,0.145454546
17-Oct,0,0,0.466666667,1,0.257142857,0.271428571,0.228571429,0.185714286,0.228571429,0,0.2125,0,0,0.3,0.722222222,0.644444444,0.172727273,0.054545455,0.281818182,0.018181818,0.363636364,0.081818182,0.709090909,0.209090909,0,0.018181818,0.218181818,0.809090909,0.036363636,0,0.318181818,0.009090909,0.109090909
18-Oct,0,0,0.65,1.283333333,0.257142857,0.271428571,0.228571429,0.214285714,0.171428571,0.025,0.1875,0.025,0,0.244444444,0.677777778,0.822222222,0.336363636,0.054545455,0.281818182,0.018181818,0.381818182,0.072727273,0.745454546,0.181818182,0,0.018181818,0.218181818,0.836363636,0.054545455,0,0.263636364,0.009090909,0.072727273
19-Oct,0,0,0.633333333,1.333333333,0.257142857,0.257142857,0.214285714,0.214285714,0.542857143,0.025,0.175,0.0125,0,0.233333333,0.755555556,0.766666667,0.345454546,0.054545455,0.281818182,0.045454546,0.363636364,0.072727273,0.845454546,0.145454546,0,0.018181818,0.172727273,0.836363636,0.1,0,0.236363636,0.009090909,0.045454546
20-Oct,0,0,0.633333333,1.266666667,0.2,0.414285714,0.228571429,0.214285714,0.5,0,0.1625,0,0,0.233333333,1.033333333,0.8,0.345454546,0.063636364,0.281818182,0.027272727,0.354545455,0.072727273,0.863636364,0.109090909,0.018181818,0.018181818,0.172727273,0.8,0.154545455,0.027272727,0.245454546,0.027272727,0.036363636
21-Oct,0,0,0.633333333,1.216666667,0.2,0.428571429,0.228571429,0.371428571,0.442857143,0.025,0.1375,0,0,0.233333333,0.955555556,0.966666667,0.381818182,0.109090909,0.345454546,0.018181818,0.345454546,0.072727273,0.9,0.081818182,0.054545455,0.027272727,0.336363636,0.772727273,0.245454546,0.027272727,0.254545455,0.045454546,0.036363636
22-Oct,0,0,0.633333333,1.2,0.228571429,0.7,0.214285714,0.357142857,0.357142857,0.0375,0.2,0.0125,0,0.311111111,0.911111111,1.011111111,0.690909091,0.163636364,1.190909091,0.081818182,0.327272727,0.072727273,0.818181818,0.063636364,0.4,0.027272727,0.345454546,0.736363636,0.345454546,0.027272727,0.263636364,0.036363636,0.027272727
23-Oct,0,0,0.616666667,1.166666667,0.371428571,0.771428571,0.228571429,0.357142857,0.342857143,0.3625,0.2875,0.1625,0,0.411111111,0.866666667,1.044444444,0.727272727,0.263636364,1.181818182,0.190909091,0.318181818,0.072727273,0.727272727,0.063636364,0.818181818,0,0.354545455,0.754545455,0.436363636,0.027272727,0.272727273,0.054545455,0
24-Oct,0.016666667,0,0.616666667,1.066666667,0.428571429,0.657142857,0.314285714,0.342857143,0.328571429,0.7375,0.275,0.45,0,0.444444444,0.822222222,1.066666667,0.681818182,0.281818182,1.190909091,0.263636364,0.290909091,0.072727273,0.709090909,0.063636364,0.872727273,0,0.327272727,0.8,0.709090909,0.036363636,0.3,0.3,0
25-Oct,0.15,0,0.6,0.983333333,0.414285714,0.7,1,0.328571429,0.3,0.6625,0.2625,0.475,0,0.433333333,0.766666667,1.088888889,0.672727273,0.281818182,1.218181818,0.281818182,0.281818182,0.109090909,0.672727273,0.063636364,0.790909091,0,0.3,0.854545455,0.990909091,0.036363636,0.3,0.327272727,0
26-Oct,0.183333333,0.2,0.616666667,0.933333333,0.414285714,0.914285714,1.371428571,0.485714286,0.271428571,0.525,0.25,0.475,0,0.444444444,0.788888889,1.233333333,0.645454546,0.309090909,1.490909091,0.636363636,0.481818182,0.172727273,0.645454546,0.063636364,0.772727273,0,0.3,0.809090909,1.063636364,0.881818182,0.318181818,0.381818182,0
27-Oct,0.166666667,0.05,0.8,0.883333333,0.385714286,1.242857143,1.342857143,0.6,0.242857143,0.5625,0.2625,0.8,0,0.444444444,0.766666667,2.033333333,0.618181818,0.263636364,1.518181818,0.7,1.509090909,0.2,0.627272727,0.063636364,0.718181818,0,0.290909091,0.745454546,1.045454546,1.490909091,0.490909091,0.5,0.009090909
