date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,0-Min,Min-10%,10%-30%,Stats. Shading,70%-90%,90%-Max,Median (POR)
10-01,46.6248492077,47.6042462648,42.6091112377,57.188620064,60.5985365885,44.5849538501,57.5484506609,71.4788668081,38.0292019265,46.3957593711,50.4250320469,29.166398527,66.0044788178,42.007056725,29.166398527,38.9451837887,45.6714371627,57.3325523028,64.9232903719,71.4788668081,47.6042462648
10-02,46.3062178272,47.2174904554,41.7396344815,56.8880443682,60.1533309532,44.2252287145,57.5465435244,71.2525002607,36.23942227,46.1059021079,50.3236915094,29.3403463532,72.1107953789,42.35802451,29.3403463532,37.3394647123,45.3536327506,57.1514440307,69.0326663992,72.1107953789,47.2174904554
10-03,46.0617638196,46.4595938283,41.9993332996,55.6865802042,60.5274720256,43.7234095998,56.7478950759,71.4017496896,36.1531603539,45.5357342942,49.9386326632,35.5467208748,71.4457003365,48.2286956731,35.5467208748,37.322394943,44.8108044164,56.1111061529,69.2268941568,71.4457003365,46.4595938283
10-04,45.1220751208,46.2969460891,41.5504035535,55.355754158,60.4877019309,43.7121500302,56.121987337,70.9574308997,39.6665912467,44.9537281718,49.7706100143,29.3002901078,70.2320442494,47.6540255217,29.3002901078,40.0433537081,44.4570969152,55.6622474296,68.2831757857,70.9574308997,46.2969460891
10-05,45.1393016728,46.2374425505,41.663027218,54.7707211476,59.8586152529,43.1657566676,56.6241717985,72.0166674354,37.5704365476,45.3485073628,49.438419077,29.0043387833,72.8820813703,47.8166794615,29.0043387833,38.3889546816,44.3498836707,55.512101408,69.5850569989,72.8820813703,46.2374425505
10-06,45.463540515,46.3039334478,41.2679964096,55.4169517589,60.2627904809,44.9130715778,55.8769767796,73.7851652808,35.1654258237,44.5793442804,49.3563176598,29.1262186111,74.124570309,47.2674878108,29.1262186111,36.3859399409,44.7795806589,55.6009617672,71.0806903208,74.124570309,46.3039334478
10-07,46.5005420705,46.6042994917,40.906513076,55.0151393389,60.0165264388,44.369103494,55.4636648305,74.2957962745,43.609335863,44.5547600685,49.0104553663,28.0428976523,73.6135393464,46.7715047014,28.0428976523,41.4470776334,44.4804974387,55.1945495356,70.8941367649,74.2957962745,46.6042994917
10-08,45.392703304,47.5040170639,41.385188503,54.8061658363,64.4905890677,44.6958199725,54.6632568758,73.8258125087,45.8608713058,44.4963085923,49.0326681291,27.7366975604,72.6915403445,46.1833994143,27.7366975604,42.0074125209,45.1139499714,54.72042046,71.0513500891,73.8258125087,47.5040170639
10-09,45.1046632693,47.8514355429,41.1589861432,54.4799808678,64.878248246,44.8590345417,55.5232578978,73.4741161026,45.5787585978,43.9753791028,48.6626952757,28.7717056043,72.4379225225,45.4029150372,28.7717056043,41.7222647351,45.0064117782,54.8972916798,70.9259876672,73.4741161026,47.8514355429
10-10,44.7527059442,49.0179247651,41.330995486,53.9998202385,68.8301548346,44.9743939289,55.2167090361,72.7771248719,45.3895207355,43.8011178462,48.4387902388,29.3224236704,71.6760400251,43.8449339776,29.3224236704,41.825019958,44.885718735,54.4865757575,71.106862987,72.7771248719,48.4387902388
10-11,44.9831690555,49.8949315994,40.5328981133,53.6649458882,69.3700673004,44.5948084724,54.9663049772,74.6229246328,45.2762835985,43.6562285539,47.4026997941,28.0285090701,71.2449773285,43.6727927468,28.0285090701,41.1575642014,44.8278248223,54.1854895238,70.8699953229,74.6229246328,47.4026997941
10-12,45.6224576754,55.93240977,41.0855521327,54.0362070466,70.5378822738,44.782799154,54.2363051365,74.1228487392,44.7563402038,43.8258827562,47.7721270764,27.7659509928,70.4371038931,44.2922383566,27.7659509928,41.6336182574,44.7722155739,54.9147469899,70.5177265977,74.1228487392,47.7721270764
10-13,44.2573830091,57.6847235749,40.7302316751,54.4285726862,70.1958790352,44.5098133719,54.8761910055,73.9318672426,48.3435361349,42.8249467662,48.2682848682,31.4230720229,69.6507632673,44.8283878833,31.4230720229,41.1491746934,44.4088412268,55.9996040332,70.0868558816,73.9318672426,48.3435361349
10-14,37.6227159277,57.4614386874,40.9131614166,54.8124778453,72.0856495043,44.2034436269,54.2942911061,73.4528205718,49.6571515864,43.9675605655,48.0812063497,27.5676230002,68.8369614599,45.1917739647,27.5676230002,38.2808050254,44.1090904024,55.8720621822,71.4359118954,73.4528205718,49.6571515864
10-15,35.7853961631,57.7970207077,40.2942616435,55.3616917174,72.2855321736,43.9329236143,54.4545404379,73.037289379,49.2201818694,43.0018146678,47.4497798361,33.4474210283,67.8115040778,45.1003308069,33.4474210283,36.6871692592,43.5604800357,56.3358233135,71.3907265544,73.037289379,49.2201818694
10-16,36.3118726128,58.2951323551,41.9327126139,55.4323888682,71.9707777455,44.036282772,53.7878327867,72.8511833719,47.9388663584,43.8100740503,47.4679627373,27.8790588914,66.8888526751,46.5685511925,27.8790588914,37.436040613,43.9457992833,56.577486263,70.9543927314,72.8511833719,47.9388663584
10-17,36.2766121566,58.4622936434,41.9020622926,55.2395559241,71.7051923885,43.6159439437,54.0786872086,72.5153573093,47.039468168,42.9055970675,47.3760136057,27.1837340212,66.401052042,46.6794010201,27.1837340212,37.4017021838,43.3318051932,56.5286510118,70.6443643192,72.5153573093,47.3760136057
10-18,36.5165589755,58.4799918726,40.748002353,55.8910247156,70.3509336311,43.945253597,53.6451302364,71.8793554766,46.1715817773,43.6818463696,47.1151933593,28.1091715881,66.3150849318,46.5514228738,28.1091715881,37.362847651,43.8398907061,56.9266115784,69.5437638912,71.8793554766,47.1151933593
10-19,36.1611346514,58.6733573285,41.4523853459,55.014933586,70.5007648732,44.0803889399,53.3829177971,71.6293787029,48.3823615926,42.7539210521,47.0850607037,29.4546532975,65.1121431799,46.3482118397,29.4546532975,37.2193847903,43.5498017848,56.478303083,69.4230405345,71.6293787029,48.3823615926
10-20,35.8864798276,58.6640154599,42.3694028606,48.2385289294,70.4762707797,44.2927385697,52.523093119,71.269445461,49.6201196796,43.8487479091,46.6360501978,27.8378929694,64.5340858793,45.7082956978,27.8378929694,37.1830644342,44.1151423054,54.9794620554,69.2878337997,71.269445461,48.2385289294
10-21,35.6645987705,57.7980665138,42.1734114647,55.7469660999,64.6048207253,43.8049187786,53.1205490182,70.8983647615,49.1430560475,42.9542099136,47.0549728694,27.8176489567,63.8288116851,44.8154768937,27.8176489567,36.9663613093,43.4646352326,56.5674062654,64.4496189173,70.8983647615,49.1430560475
10-22,35.8802118722,58.1538448313,41.7213504854,55.762017281,64.444736782,43.6602927571,53.117282789,70.940560538,50.7790744925,42.5315036472,46.5697703123,27.6100121268,63.3489454225,45.0142019146,27.6100121268,37.0484395949,43.2087771131,56.7187483011,64.2255785101,70.940560538,50.7790744925
