date,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1-Oct,38.48,42.8,41.66,37.82,34.16,43.13428571,45.91142857,36.06285714,43.10857143,40.6625,40.91,39.335,44.15,32.98,46.48,45.59,46.724,44.48545455,26.66545455,50.58909091,46.97272727,40.60727273,45.41818182,35.19090909,50.49090909,43.32363636,40.65636364,48.42909091,49.91818182,42.19454545,36.87636364,41.49090909,47.03818182
2-Oct,41.78,42.86,39.8,35.36,33.77,40.76857143,45.91142857,36.19142857,41.18,40.7525,42.3275,35.0825,37.9175,37.2,47.68,46.3325,39.41272727,43.20909091,33.17818182,45.07454545,46.15454545,45.15636364,45.38545455,34.29090909,48.88727273,46.05636364,41.08181818,47.67636364,41.99818182,43.97818182,38.74181818,39.72363636,41.42545455
3-Oct,45.77,43.196,43.7,38.69,39.59,38.55714286,41.12857143,41.07714286,40.30571429,38.075,42.395,30.02,34.34,36.62,48.26,42.665,45.824,42.99636364,38.02181818,45.54909091,44.294,47.18545455,44.89454545,38.84,43.34,40.78727273,42.16181818,49.90181818,43.84727273,40.64,40.75454545,39.29818182,34.63454545
4-Oct,32.72,41.75,43.835,40.43,28.07,37.22,45.01142857,26.96,39.14,30.515,43.2725,33.1025,35.465,36.06,44.48,43.34,44.04363636,40.54181818,40.55,45.74545455,42.14545455,44.86181818,28.13818182,41.83454545,41.78545455,31.95090909,46.23636364,44.12545455,45.94181818,46.20363636,43.42181818,38.16909091,35.73090909
5-Oct,35.57,37.97,44.6,39.32,23.03,38.96857143,44.63,22.04857143,42.69714286,29.975,35.195,37.85,36.7025,33.74,35.64,46.445,45.45090909,36.53272727,35.546,45.87636364,39.42909091,41.01636364,28.22,40.62363636,42.65272727,36.56545455,46.67818182,41.62181818,43.35636364,47.33272727,45.02545455,37.10545455,38.49636364
6-Oct,36.83,38.84,45.572,28.58,30.2,40.82,45.70571429,27.91142857,42.92857143,30.605,40.6625,36.4775,37.6925,32.68,34.74,46.9175,41.50727273,34.29090909,32.414,43.52,32.16363636,31.1,36.69636364,44.51818182,42.19454545,32.39272727,38.92181818,36.61454545,36.81090909,47.61090909,43.35636364,37.36727273,38.03818182
7-Oct,39.38,21.68,34.655,27.71,37.58,41.36,42.51714286,37.24571429,32.79714286,22.9325,39.65,39.11,40.2575,34.96,40.56,43.6775,29.2,38.61090909,37.094,45.33636364,28.59636364,31.78727273,44.10909091,43.48727273,39.77272727,34.74909091,42.39090909,40.18181818,41.45818182,49.28,43.79818182,37.80909091,42.99636364
8-Oct,41.72,27.92,34.385,28.07,36.05,42.00285714,27.11428571,43.77714286,33.28571429,25.115,39.8075,37.2875,41,36.56,44.28,34.3175,37.49,43.66727273,32,37.80909091,26.66545455,39.16727273,44.28909091,46.07272727,42.14545455,40.13272727,43.34,31.64,43.78181818,48.36363636,46.17090909,36.97454545,42.03090909
9-Oct,38.21,35.06,35.33,31.85,35.93,41.97714286,36.65428571,42.56857143,40.33142857,26.15,32.4725,38.2775,43.5875,37.62,32.96,30.8525,41.918,45.30363636,34.205,35.27272727,27.87636364,41.26181818,42.84909091,37.51454545,44.69818182,39.28181818,22.13272727,28.58,44.56727273,48.05272727,39.69090909,36.79454545,42.14545455
10-Oct,39.68,36.32,33.224,35.39,38.87,44.52285714,44.65142857,42.90285714,41.92571429,29.8625,26.555,40.0325,44.015,36.92,24.68,31.7975,44.924,42.75090909,39.3125,35.69818182,32.86727273,43.17636364,33.89818182,34.29090909,47.08727273,41.75272727,29.59454545,29.56181818,23.198,48.05272727,33.45636364,38.08727273,40.88545455
11-Oct,42.47,38.57,38.93,38.45,43.34,44.54857143,40.66571429,39.38,42.28571429,32.2475,32.1125,43.655,38.03,32.84,27.92,35.0375,42.24363636,40.11636364,39.1325,36.89272727,36.22181818,45.27090909,29.56181818,38.52909091,48.44545455,41.11454545,41.27818182,32.26181818,24.96363636,40.77090909,37.71090909,41.08181818,39.69090909
12-Oct,44.66,41.12,34.94,36.92,43.01,43.98285714,19.45142857,41.9,43.13428571,28.715,23.2025,34.4975,43.115,36.1,30.32,37.22,47.62,34.12727273,40.6175,33.84909091,37.84181818,37.62909091,31.85272727,32,45.97454545,40.70545455,44.94363636,34.32363636,34.09454545,40.80363636,28.30181818,40.57454545,29.95454545
13-Oct,41.15,44.66,34.556,34.97,31.1,42.69714286,23.66857143,43.44285714,42.38857143,23.3375,31.6175,35.06,36.05,25.82,33.28,37.3775,39.632,25.47090909,38.1875,37.41636364,42.57090909,31.34545455,39.69090909,28.67818182,46.48181818,41.85090909,43.74909091,36.59818182,37.13818182,46.84181818,26.91090909,38.84,30.75636364
14-Oct,39.14,41.12,35.21,31.43,36.71,40.25428571,31.66571429,45.37142857,44.49714286,22.4825,37.8275,35.15,36.8375,34.14,37.08,37.715,30.614,30.42909091,40.6,41.06545455,42.65272727,36.20545455,30.75636364,37.04,45.63090909,46.994,37.18727273,19.35090909,40.34545455,49.13272727,25.12727273,39.02,33.98
15-Oct,42.08,37.85,35.27,27.53,39.17,37.86285714,33.28571429,40.12571429,41.05142857,24.0575,33.5075,35.5325,40.325,39.36,37.6,36.005,32.432,31.96727273,38.7,41.94909091,45.36909091,42.01454545,23.94909091,45.87636364,42.68545455,49.06727273,37.95636364,17.92727273,37.51454545,38.43090909,24.84909091,38.77454545,37.20363636
16-Oct,46.67,35.09,33.71,25.94,41.87,34.39142857,34.21142857,28.65714286,20.22285714,25.4975,39.02,34.0475,42.125,42.9,38.32,36.41,37.238,38.07090909,37.16,40.23090909,47.56181818,44.58363636,24.24363636,44.91090909,42.44,48.85454545,41.55636364,25.37272727,42.06363636,42.45636364,35.27272727,31.55818182,41.62181818
17-Oct,45.92,36.5,31.496,22.85,37.64,23.20571429,37.24571429,24.23428571,20.22285714,26.8025,41.495,36.6575,44.7125,37.32,40.06,31.235,28.58,39.41272727,40.5,41.26181818,35.40363636,37.04,27.74545455,41.9,43.50363636,48.18363636,41.57272727,28.95636364,44.19090909,45.04181818,40.21454545,33.75090909,45.74545455
18-Oct,40.55,37.52,29.06,26.69,42.11,35.65142857,37.91428571,30.2,24.90285714,28.175,40.775,33.755,43.0925,32.94,42.8,24.1025,26.06,43.19272727,45.1,36.05818182,30.57636364,38.31636364,24.37454545,41.09818182,42.84909091,43.52,41.44181818,34.78181818,33.68545455,46.07272727,41.55636364,34.84727273,43.38909091
19-Oct,37.88,38.18,29.444,26.84,32.3,37.73,34.90571429,33.41428571,25.18571429,28.0175,40.5725,32.72,44.285,34.74,33.22,27.98,38.966,40.41090909,43.22,36.86,37.26909091,43.09454545,30.98545455,40.80363636,40.90181818,33.98,43.27454545,32.62181818,32.58909091,46.05636364,32.42545455,38.28363636,43.25818182
20-Oct,35.75,37.25,28.91,29,37.1,20.58285714,33.18285714,29.96857143,30.35428571,28.1075,39.38,33.395,41.9225,38.36,34.56,31.92,39.82,36.17272727,39.38,40.03454545,38.26727273,45.48363636,32.14727273,40.298,38.93818182,34.81454545,41.88363636,34.29090909,22.46,44.27272727,34.7,40.68909091,44.48545455
21-Oct,37.55,38.63,31.676,31.64,39.56,9.114285714,31.76857143,30.76571429,33.69714286,27.6125,37.4,31.5275,44.105,38.54,35.14,22.76,18.212,33.93090909,26.114,35.96,37.92363636,43.84727273,29.3,40.748,33.45636364,42.39090909,28.69454545,37.33454545,22.29636364,46.30181818,36.94181818,40.31272727,44.76363636
22-Oct,37.61,38.54,34.22,33.41,22.37,17.85714286,33.82571429,34.93142857,34.75142857,24.575,34.8125,30.5825,44.7575,26.3,37.44,26.58,19.9,17.12545455,26.222,33.35818182,38.49636364,42.89818182,34.27454545,39.272,32.76909091,43.772,37.77636364,38.18545455,31.95090909,44.27272727,39.54363636,40.60727273,43.27454545
23-Oct,36.26,37.52,32.63,33.5,18.32,25.57142857,30.61142857,34.10857143,35.24,24.5975,36.68,30.2675,44.69,32.02,32,36.26,34.1,26.37090909,29.732,33.75090909,40.19818182,44.38727273,36.41818182,40.658,33.14545455,42.96363636,38.80727273,36.95818182,30.77272727,41.01636364,38.56181818,28.36727273,43.84727273
24-Oct,30.56,38.84,33.395,30.17,27.41,28.99142857,20.69,33.26,36.60285714,23.4275,27.68,28.265,36.905,33.8,34.56,35.14,37.52,33.60363636,33.602,35.46909091,42.94727273,39.80545455,37.66181818,45.194,32.49090909,44.42,35.564,34.47090909,15.71818182,43.30727273,37.35090909,18.54909091,39.36363636
25-Oct,29.39,37.76,31.244,29.45,30.86,26.6,10.4,36.19142857,35.96,21.0425,32.8325,27.365,18.455,33.82,35.98,33.08,38.78,40.73818182,23.414,26.68181818,38.12,23.52363636,36.25454545,45.986,35.76363636,40.29636364,40.44363636,33.11272727,28.20363636,23.75272727,46.61272727,28.07272727,38.62727273
26-Oct,32.57,33.32,21.164,30.35,36.21714286,19.42571429,17.62571429,35.06,39.58571429,22.19,33.89,28.8275,27.1625,34.94,34.08,20.2,37.74,37.66181818,21.038,18.63090909,21.28181818,19.85818182,34.58545455,44.6,35.24,38.786,33.60363636,34.88,37.20363636,7.569090909,32.70363636,29.80727273,38.25090909
27-Oct,33.26,34.34,23.9,35.54,33.8,23.36,25.08285714,32.33428571,36.11428571,26.3975,39.515,27.59,36.1625,38.44,34.64,28.46,36.78,38.56181818,28.814,18.09090909,22.46,29.67636364,35.81272727,35.186,30.90363636,45.95,28.48181818,39.05272727,29.49636364,17.37090909,25.30727273,23.49090909,37.71090909
28-Oct,18.44,32.21,16.31,39.35,37.22,29.96,26.67714286,28.34857143,38.42857143,24.305,38.8175,25.2275,38.8175,36.06,36.82,35.26,37.84,38.48,17.15,30.13454545,24.8,36.59818182,37.02363636,34.43818182,33.04727273,46.364,32.42545455,41.22909091,14.81818182,27.43454545,31.49272727,24.03090909,31.13272727
29-Oct,12.38,29.36,12.5,34.1,37.96571429,19.65714286,30.81714286,30.45714286,24.56857143,20.9075,40.55,18.9725,43.07,22.8,32.7,36.62,39.04,38.49636364,10.85,38.39818182,32.29454545,38.25090909,33.29272727,38.39818182,34.02909091,43.73272727,37.4,43.09454545,11.02181818,30.90363636,36.40181818,27.43454545,13.46
30-Oct,5.15,32.72,18.32,27.92,38.01714286,27.01142857,32.79714286,32,25.00571429,23.1575,43.52,21.4925,38.0075,25.42,28.54,32.82,38.42,40.32909091,19.544,40.46,33.48909091,36.48363636,24.24363636,36.84363636,28.33454545,43.48727273,28.62909091,29.41454545,1.46,34.42181818,37.59636364,27.76181818,14.26181818
31-Oct,11.21,26.21,30.08,27.77,36.88571429,27.32,33.82571429,28.34857143,33.85142857,17.105,36.455,29.2775,36.6575,24.34,26.94,32.2,31.1,39.74,31.442,33.24363636,35.81272727,37.53090909,24.27636364,38.79090909,32.57272727,43.16,32.03272727,21.26545455,23.36,35.46909091,35.96,30.65818182,22.00181818
1-Nov,18.08,21.08,28.76,37.07,30.14857143,21.38,24.10571429,29.22285714,29.24857143,14.045,32.225,30.695,35.6,11.98,36.32,27.38,32.5,39.87090909,34.844,28.38363636,34.42181818,40.78727273,26.20727273,40.32909091,37.98909091,39.62545455,37.54727273,24.44,24.98,37.59636364,35.61636364,35.25636364,30.26545455
2-Nov,5.63,19.364,21.74,34.82,20.24857143,27.2,21.09714286,27.16571429,31.20285714,13.685,33.1025,27.275,35.105,16,40.1,29.78,29.5,41.55636364,34.412,35.07636364,14.78545455,37.05636364,34.55272727,33.93090909,40.01818182,34.04545455,38.33272727,31.57454545,30.74,38.51272727,32.60545455,35.63272727,34.81454545
